"2 Digit","20-21","22","23","24","25","26","27","28","29","30","31","32","33","34","35-36","37","38","Mining","Manufacturing","Electricity","General"
"1994-95",21.6,3.0,-0.9,14.5,-4.9,-1.5,-0.7,8.6,-13.4,5.3,7.7,8.3,13.1,5.6,15.8,12.9,8.5,9.8,9.1,8.5,9.1
"1995-96",6.7,13.3,10.5,14.7,7.7,35.7,24.1,15.6,13.7,11.2,7.8,23.6,15.8,-4.6,18.7,17.4,25.8,9.7,14.1,8.1,13.0
"1996-97",3.5,13.5,12.1,10.5,-4.5,9.4,7.1,9.1,9.4,4.8,2.0,7.9,6.7,9.7,5.0,12.5,24.7,-1.9,7.3,4.0,6.1
"1997-98",-0.4,19.4,2.4,18.5,16.9,8.5,-2.6,6.9,2.2,14.4,5.2,13.4,2.6,7.9,5.8,2.5,-1.3,6.9,6.7,6.6,6.7
"1998-99",0.7,12.9,-7.7,2.8,-7.3,-3.5,-5.8,16.0,8.1,6.6,11.3,8.3,-2.5,17.0,1.5,20.1,1.0,-0.8,4.4,6.5,4.1
"1999-00",4.2,7.6,6.7,11.9,-0.9,2.0,-16.2,6.3,13.8,10.0,-1.1,24.4,5.0,-1.2,17.7,5.7,-16.0,1.0,7.1,7.3,6.7
"2000-01",10.1,4.3,2.9,5.8,0.8,4.0,2.9,-9.1,10.7,7.3,11.8,-1.2,1.8,15.0,7.3,-2.0,11.6,2.8,5.3,4.0,5.0
"2001-02",-1.6,12.2,-2.2,4.4,-5.9,2.4,-11.0,3.0,5.3,4.8,11.1,1.1,4.3,-10.0,1.3,6.8,8.9,1.2,2.9,3.1,2.7
"2002-03",11.0,27.9,-2.7,3.0,8.3,14.4,-17.6,6.8,-3.2,3.7,5.5,5.1,9.2,6.4,1.6,14.6,0.1,5.8,6.0,3.2,5.7
"2003-04",-0.5,8.5,-3.1,6.8,-4.2,-3.2,6.8,15.6,-3.9,8.7,4.5,3.7,9.2,3.7,15.8,17.0,7.7,5.2,7.4,5.1,7.0
"2004-05",-0.4,10.8,7.6,3.5,3.7,19.2,-8.4,10.5,6.7,14.5,2.4,1.5,5.4,5.7,19.8,4.1,18.5,4.4,9.2,5.2,8.4
"2005-06",2.0,15.7,8.5,0.0,0.5,16.3,-5.7,-0.9,-5.0,8.1,4.3,11.5,15.8,-3.3,12.6,11.6,17.2,1.0,8.9,5.2,8.0
"2006-07",8.6,11.0,14.8,7.8,-15.8,11.5,29.1,8.7,0.4,9.4,12.9,11.7,22.9,13.3,16.6,14.4,8.8,5.4,12.9,7.2,11.9
"2007-08",7.0,12.0,4.3,4.8,33.1,3.7,40.5,2.7,11.7,10.2,8.9,6.8,12.1,-7.3,12.4,3.9,18.5,5.1,9.2,6.4,8.7
"2008-09",-9.7,16.2,-1.9,0.0,-10.0,5.8,-9.6,1.9,-6.9,5.5,-1.5,1.3,4.0,0.5,9.0,2.4,3.5,2.6,3.3,2.8,3.2
"2009-10",-1.5,-0.2,5.5,8.1,-24.4,8.4,9.7,3.9,2.5,8.8,15.4,9.5,6.5,11.5,20.6,26.9,9.2,9.9,11.0,6.0,10.5
"2010-11",12.4,-1.9,10.3,0.3,24.1,3.5,-21.4,8.2,14.3,2.3,12.4,5.8,9.0,12.3,8.2,21.5,24.8,5.9,8.2,5.6,7.8
"2011-12 (Apr-Jun)",22.8,8.3,-7.4,-6.7,-16.4,-21.8,-70.9,4.7,3.0,-1.9,11.5,3.1,12.7,2.6,0.0,17.1,24.7,0.7,3.9,8.2,4.0
