"Maternal Mortality Ratio (per 1,00,000 live births)",1997-98,1999-01,2001-03,2004-06,2007-09
Andhra Pradesh,197,220,195,154,134
Assam,568,398,490,480,390
Bihar/Jharkhand,531,400,371,312,261
Gujarat,46,202,172,160,148
Haryana,136,176,162,186,153
Karnataka,245,266,228,213,178
Kerala,150,149,110,95,81
Madhya Pradesh/Chhatisgarh,441,407,379,335,269
Maharashtra,166,169,149,130,104
Orissa,346,424,358,303,258
Punjab,280,177,178,192,172
Rajasthan,508,501,445,388,318
Tamil Nadu,131,167,134,111,97
Uttar Pradesh/Uttarakhand,606,539,517,440,359
West Bengal,303,218,194,141,145
All India,398,327,301,254,212
