"Year/State"," Ayurveda - 2010"," Ayurveda - 2011","Unani - 2010","Unani - 2011","Siddha - 2010","Siddha - 2011","Naturopathy - 2010","Naturopathy - 2011","Homoeopathy - 2010","Homoeopathy - 2011","Total - 2010","Total - 2011"
"GRAND TOTAL",478750.0,429246.0,51067.0,49431.0,7195.0,7568.0,1401.0,1597.0,246772.0,224279.0,785185.0,712121.0
"Andhra Pradesh",15582.0,16185.0,5247.0,6080.0,"NA","NA",476.0,476.0,9364.0,5242.0,30669.0,27983.0
"Arunachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA",130.0,166.0,130.0,166.0
"Assam",622.0,689.0,"NA","NA","NA","NA","NA","NA",1032.0,485.0,1654.0,1174.0
"Bihar",133327.0,96046.0,4379.0,6665.0,"NA","NA","NA","NA",28963.0,29411.0,166669.0,132122.0
"Chhattisgarh",1717.0,1914.0,60.0,70.0,"NA","NA",51.0,63.0,751.0,880.0,2579.0,2927.0
"Goa",422.0,470.0,"NA","NA","NA","NA","NA","NA",436.0,495.0,858.0,965.0
"Gujarat",22587.0,23059.0,281.0,284.0,"NA","NA","NA","NA",11965.0,11965.0,34833.0,35308.0
"Haryana",19618.0,19946.0,2216.0,2219.0,"NA","NA","NA","NA",5344.0,5317.0,27178.0,27482.0
"Himachal Pradesh",7236.0,7236.0,456.0,456.0,"NA","NA","NA","NA",1189.0,1215.0,8881.0,8907.0
"Jammu & Kashmir",2248.0,2351.0,2142.0,2235.0,"NA","NA","NA","NA",111.0,265.0,4501.0,4851.0
"Jharkhand",24608.0,24608.0,1754.0,1754.0,"NA","NA","NA","NA","NA","NA",26362.0,26362.0
"Karnataka",25246.0,26819.0,1487.0,1426.0,4.0,4.0,335.0,375.0,6546.0,7074.0,33618.0,35698.0
"Kerala",16639.0,17634.0,70.0,84.0,1401.0,1521.0,"NA",64.0,10235.0,10642.0,28345.0,29945.0
"Madhya Pradesh",50046.0,43168.0,1171.0,1139.0,"NA","NA",7.0,7.0,11727.0,12629.0,62951.0,56943.0
"Maharashtra",57238.0,60136.0,4894.0,5177.0,"NA","NA","NA","NA",50262.0,53159.0,112394.0,118472.0
"Manipur","NULL","NA","NULL",12.0,"NULL","NULL","NULL",28.0,"NULL",460.0,252.0,500.0
"Meghalaya","NA","NA","NA","NA","NA","NA","NA","NA",252.0,260.0,1997.0,260.0
"Mizoram","NULL",2.0,"NULL","NA","NULL","NA","NULL","NA","NULL","NA","NA",2.0
"Nagaland","NA","NA","NA","NA","NA","NA","NA","NA",1997.0,2084.0,"NA",2084.0
"Orissa",4448.0,5806.0,17.0,22.0,"NA","NA","NA","NA",3835.0,3835.0,8300.0,9663.0
"Punjab",5666.0,5573.0,185.0,166.0,"NA","NA","NA","NA",4168.0,4005.0,10019.0,9744.0
"Rajasthan",24759.0,24759.0,1772.0,1772.0,"NA","NA","NA","NA",5219.0,5445.0,31750.0,31976.0
"Tamil Nadu",4004.0,4107.0,1080.0,1100.0,5790.0,6043.0,529.0,584.0,18573.0,18990.0,29976.0,30824.0
"Sikkim",3.0,6.0,"NA","NA","NA","NA",3.0,"NA","NA","NA",6.0,6.0
"Tripura","NA",89.0,"NA","NA","NA","NA","NA","NA",150.0,135.0,150.0,224.0
"Uttar Pradesh",53735.0,40004.0,16967.0,11638.0,"NA","NA","NA","NA",29630.0,30460.0,100332.0,82102.0
"Uttarakhand",2060.0,1698.0,91.0,77.0,"NA","NA","NA","NA","NA",304.0,2151.0,2079.0
"West Bengal",3451.0,3451.0,4934.0,5042.0,"NA","NA","NA","NA",41079.0,15376.0,49464.0,23869.0
"A & N Islands","NA",19.0,"NA","NA","NA","NA","NULL","NA","NA","NA","NA",19.0
"Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA",147.0,150.0,147.0,150.0
"Delhi",3488.0,3471.0,1864.0,2013.0,"NA","NA","NA","NA",3667.0,3830.0,9019.0,9314.0
