"State/ Union Territory","2001 (` '000)","2002 (` '000)","2003 (` '000)","2004** (` '000)","2005** (` '000)","2006+ (` '000)","2007+ (` '000)","2008++ (` '000)","2009++ (` '000)","2010 (` '000)"
" Andhra Pradesh",634580.0,"NA",1240195.0,1115448.0,1386267.0,11133691.0,13260133.0,18439121.0,21791695.0,"NA"
" Arunachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Assam",20388.0,430247.0,9467.0,77329.0,"NA",1357989.0,"NA","NA","NA","NA"
" Bihar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Chhatisgarh*","NA","*","NA","NA","NA","NA","NA","NA","NA","NA"
" Goa","NA","NA",31021.0,82555.0,41559.0,57632.0,121184.0,"NA","NA",126841.0
" Gujarat","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Haryana","NA","NA","NA","NA","NA",10890024.0,"NA","NA",2516364.0,5584618.0
" Himachal Pradesh",22306.0,49332.0,"NA","NA","NA","NA",1004478.0,1502313.0,1428331.0,2944805.0
" Jammu & Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Jharkhand","NA","*","NA",3457561.0,3526987.0,"NA",8115560.0,"NA","NA","NA"
" Karnataka","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Kerala","NA","NA","NA","NA","NA","NA",7215.0,286242.0,"NA","NA"
" Madhya Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Maharashtra",76814.0,177075.0,62777.0,42301.0,27996.0,"NA","NA","NA","NA","NA"
" Manipur",4098.0,"NA","NA",4167.0,"NA","NA",19500.0,"NA",36990.0,33490.0
" Meghalaya","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Mizoram","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Nagaland","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Orissa",109130.0,10816.0,24041.0,14327.0,10709.0,40165.0,34593.0,58424.0,"NA","NA"
" Punjab","NA","NA","NA","NA","NA",5222610.0,44933254.0,4794677.0,2598215.0,"NA"
" Rajasthan",51057.0,63542.0,73068.0,58845.0,45005.0,1332193.0,"NA","NA","NA",4046892.0
" Sikkim","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Tamil Nadu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Tripura",14169.0,19089.0,16436.0,33426.0,77285.0,143305.0,"NA","NA",258216.0,83518.0
" Uttarakhand*","NA","*","NA","NA","NA","NA","NA","NA","NA","NA"
" Uttar Pradesh","NA","NA","NA","NA","NA","NA",1542534.0,"NA","NA","NA"
" West Bengal","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" A. & N. Islands","NA","NA","NA","NA","NA","NA","NA","NA",17858.0,11700.0
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" D. & N. Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman and Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Puducherry",270760.0,"NA","NA","NA","NA","NA","NA",721559.0,"NA","NA"
"All India",1203302.0,750101.0,1457004.0,4885959.0,5115808.0,30177609.0,69038451.0,25802336.0,28647669.0,12831863.0
